SimpleHandValue,SimpleHandValue2,Ties
1,0,0
1,1,0
2,1,0
2,2,0
2,3,0
3,3,0
4,3,0
4,4,0
5,4,0
6,4,0
6,5,0
6,6,0
7,6,0
7,6,1
7,7,1
8,7,1
8,8,1
9,8,1
10,8,1
10,8,2
11,8,2
11,9,2
11,10,2
12,10,2
12,11,2
13,11,2
14,11,2
15,11,2
15,12,2
16,12,2
16,13,2
17,13,2
18,13,2
18,14,2
18,15,2
18,16,2
18,17,2
18,18,2
19,18,2
19,19,2
19,20,2
19,21,2
19,22,2
20,22,2
21,22,2
22,22,2
23,22,2
23,23,2
24,23,2
25,23,2
26,23,2
27,23,2
27,24,2
27,25,2
27,26,2
27,27,2
27,28,2
27,29,2
27,30,2
28,30,2
29,30,2
29,31,2
30,31,2
31,31,2
32,31,2
33,31,2
33,32,2
34,32,2
34,33,2
34,34,2
35,34,2
36,34,2
37,34,2
37,35,2
38,35,2
39,35,2
39,36,2
39,37,2
40,37,2
41,37,2
41,38,2
42,38,2
43,38,2
43,39,2
44,39,2
44,40,2
44,41,2
44,42,2
45,42,2
45,43,2
45,44,2
45,45,2
46,45,2
47,45,2
48,45,2
49,45,2
50,45,2
50,46,2
50,47,2
50,48,2
50,49,2
50,50,2
51,50,2
52,50,2
53,50,2
53,51,2
54,51,2
55,51,2
55,52,2
56,52,2
56,53,2
57,53,2
58,53,2
59,53,2
59,54,2
60,54,2
61,54,2
61,55,2
61,56,2
61,57,2
62,57,2
62,58,2
62,59,2
63,59,2
63,60,2
63,61,2
64,61,2
65,61,2
66,61,2
67,61,2
68,61,2
68,62,2
68,63,2
69,63,2
69,64,2
70,64,2
71,64,2
72,64,2
73,64,2
73,65,2
73,66,2
74,66,2
74,67,2
74,68,2
74,69,2
75,69,2
76,69,2
77,69,2
78,69,2
78,70,2
78,71,2
78,72,2
78,73,2
79,73,2
80,73,2
80,74,2
81,74,2
82,74,2
82,75,2
82,76,2
83,76,2
83,77,2
84,77,2
85,77,2
86,77,2
86,78,2
86,79,2
86,79,3
86,80,3
86,81,3
86,82,3
86,83,3
86,84,3
86,85,3
86,86,3
87,86,3
88,86,3
89,86,3
90,86,3
91,86,3
91,87,3
91,88,3
92,88,3
93,88,3
93,89,3
94,89,3
95,89,3
95,90,3
95,91,3
96,91,3
96,92,3
96,93,3
96,94,3
96,95,3
96,96,3
97,96,3
98,96,3
98,97,3
98,98,3
99,98,3
100,98,3
101,98,3
101,99,3
101,100,3
102,100,3
102,101,3
102,102,3
102,103,3
103,103,3
104,103,3
104,104,3
104,105,3
105,105,3
106,105,3
107,105,3
108,105,3
109,105,3
109,106,3
110,106,3
110,107,3
110,108,3
111,108,3
111,109,3
112,109,3
113,109,3
113,110,3
114,110,3
115,110,3
116,110,3
117,110,3
117,110,4
117,111,4
117,112,4
118,112,4
118,113,4
118,114,4
118,115,4
118,116,4
119,116,4
120,116,4
120,117,4
